NAME,TIME
bt,60.02
bt,54.56
bt,58.19
bt,53.07
bt,60.48
bt,56.23
bt,61.21
bt,56.19
bt,61.89
bt,57.13
bt,61.06
bt,54.94
bt,60.54
bt,57.58
bt,63.66
bt,58.78
bt,63.70
bt,60.37
bt,62.46
bt,58.88
bt,51.91
bt,51.35
bt,63.11
bt,60.69
bt,59.67
bt,57.22
bt,61.30
bt,58.21
bt,62.46
bt,59.09
bt,59.79
bt,58.47
bt,60.58
bt,60.02
bt,61.55
bt,58.95
bt,60.66
bt,60.07
bt,61.20
bt,60.32
bt,61.18
bt,60.41
bt,51.53
bt,51.93
bt,60.03
bt,58.76
bt,51.56
bt,52.04
bt,51.93
bt,51.67
bt,51.22
bt,51.37
bt,55.91
bt,51.96
bt,53.89
bt,50.99
bt,55.14
bt,51.52
bt,55.09
bt,50.40
cg,27.82
cg,21.82
cg,28.18
cg,21.71
cg,28.33
cg,21.50
cg,28.90
cg,22.94
cg,28.87
cg,22.03
cg,29.44
cg,22.40
cg,28.53
cg,22.84
cg,30.53
cg,22.92
cg,30.74
cg,23.17
cg,30.35
cg,23.64
cg,24.24
cg,21.24
cg,30.13
cg,23.99
cg,28.36
cg,22.30
cg,28.91
cg,23.00
cg,28.26
cg,24.28
cg,27.92
cg,23.31
cg,28.02
cg,23.58
cg,28.08
cg,24.02
cg,29.59
cg,24.28
cg,30.06
cg,24.81
cg,27.99
cg,23.44
cg,23.71
cg,22.29
cg,28.37
cg,25.03
cg,25.45
cg,21.24
cg,25.22
cg,21.10
cg,24.55
cg,20.81
cg,25.63
cg,21.59
cg,25.15
cg,21.30
cg,24.86
cg,20.95
cg,27.47
cg,20.16
ft,22.92
ft,22.58
ft,23.06
ft,22.80
ft,23.18
ft,22.59
ft,23.09
ft,22.43
ft,23.24
ft,22.79
ft,23.22
ft,22.75
ft,23.26
ft,22.97
ft,23.03
ft,22.85
ft,23.25
ft,22.83
ft,23.24
ft,22.82
ft,22.55
ft,22.62
ft,23.18
ft,22.84
ft,22.97
ft,23.20
ft,23.29
ft,22.64
ft,23.53
ft,23.15
ft,23.37
ft,23.34
ft,23.32
ft,23.07
ft,23.10
ft,22.69
ft,23.20
ft,22.85
ft,23.12
ft,22.76
ft,23.13
ft,22.74
ft,22.54
ft,22.50
ft,22.62
ft,22.33
ft,22.54
ft,22.32
ft,22.71
ft,22.54
ft,22.59
ft,22.63
ft,22.72
ft,22.56
ft,22.71
ft,22.68
ft,22.80
ft,22.51
ft,22.75
ft,22.57
lu,67.31
lu,38.18
lu,69.16
lu,39.48
lu,69.51
lu,39.72
lu,67.60
lu,39.73
lu,68.80
lu,38.78
lu,69.51
lu,41.27
lu,72.09
lu,42.35
lu,69.48
lu,41.68
lu,72.77
lu,42.76
lu,71.79
lu,43.77
lu,58.83
lu,36.91
lu,70.46
lu,43.57
lu,69.11
lu,42.96
lu,71.33
lu,44.60
lu,69.48
lu,43.04
lu,70.06
lu,43.95
lu,68.94
lu,43.73
lu,69.13
lu,43.63
lu,71.51
lu,46.52
lu,69.59
lu,44.10
lu,68.10
lu,43.80
lu,60.40
lu,37.11
lu,68.77
lu,44.51
lu,62.22
lu,39.81
lu,60.52
lu,36.95
lu,60.51
lu,36.82
lu,61.18
lu,38.88
lu,62.67
lu,40.07
lu,63.88
lu,35.80
lu,66.18
lu,37.81
mg,11.06
mg,10.08
mg,11.31
mg,10.26
mg,11.48
mg,10.37
mg,11.37
mg,10.21
mg,11.49
mg,10.31
mg,11.30
mg,10.24
mg,11.31
mg,10.26
mg,11.63
mg,10.47
mg,11.46
mg,10.44
mg,11.46
mg,10.50
mg,10.54
mg,9.95
mg,11.43
mg,10.37
mg,11.46
mg,10.46
mg,11.30
mg,10.41
mg,11.33
mg,10.51
mg,11.45
mg,10.57
mg,11.38
mg,10.53
mg,11.16
mg,10.40
mg,11.32
mg,10.59
mg,11.27
mg,10.41
mg,11.54
mg,10.49
mg,10.96
mg,10.01
mg,11.06
mg,10.24
mg,10.76
mg,9.99
mg,10.67
mg,9.87
mg,10.78
mg,9.81
mg,10.50
mg,9.66
mg,11.15
mg,9.93
mg,10.93
mg,9.85
mg,11.26
mg,10.09
sp,88.56
sp,75.65
sp,87.32
sp,77.01
sp,88.46
sp,81.42
sp,89.94
sp,80.23
sp,89.41
sp,81.31
sp,94.71
sp,82.41
sp,97.05
sp,85.22
sp,96.43
sp,87.57
sp,94.35
sp,86.06
sp,94.60
sp,92.02
sp,78.23
sp,76.85
sp,89.62
sp,87.16
sp,90.29
sp,87.15
sp,87.37
sp,86.78
sp,87.16
sp,86.23
sp,90.17
sp,87.16
sp,91.24
sp,87.97
sp,89.01
sp,87.36
sp,91.32
sp,91.22
sp,90.87
sp,87.18
sp,89.72
sp,88.16
sp,77.56
sp,75.27
sp,86.51
sp,83.37
sp,75.67
sp,75.79
sp,76.58
sp,76.92
sp,73.68
sp,71.18
sp,75.70
sp,74.01
sp,79.96
sp,73.12
sp,81.22
sp,70.60
sp,89.18
sp,76.99
lulesh,360
lulesh,320
lulesh,410
lulesh,420
lulesh,410
lulesh,420
lulesh,330
lulesh,460
lulesh,390
lulesh,360
lulesh,300
lulesh,330
lulesh,400
lulesh,370
lulesh,370
lulesh,530
lulesh,370
lulesh,510
lulesh,380
lulesh,350
lulesh,310
lulesh,350
lulesh,400
lulesh,380
lulesh,380
lulesh,480
