source,algo,n_calls,total_time,min,max,mean
bt,zstd,469,1.77468e+10,0,2.74442e+08,3.78396e+07
bt,write,7751,6.2217e+06,0,274697,802.697
bt,write_vector,245,8.39996e+10,0,3.7094e+09,3.42855e+08
bt,write_duration_vector,108,4.26169e+10,0,2.57028e+09,3.94601e+08
bt,write_dur_subvec,124,1.23715e+10,0,4.08395e+08,9.97703e+07
bt,write_subvec,345,3.51401e+10,0,3.99192e+08,1.01855e+08
bt,zstd,469,1.89051e+10,0,2.7981e+08,4.03094e+07
bt,write,7751,6.18632e+06,0,254376,798.132
bt,write_vector,245,8.97956e+10,0,3.79775e+09,3.66513e+08
bt,write_duration_vector,108,4.62238e+10,0,3.8173e+09,4.27998e+08
bt,write_dur_subvec,124,1.48764e+10,0,4.16957e+08,1.19971e+08
bt,write_subvec,345,3.66003e+10,0,3.91674e+08,1.06088e+08
bt,zstd,469,1.81175e+10,0,3.70385e+08,3.863e+07
bt,write,7751,6.43418e+06,0,255056,830.11
bt,write_vector,245,8.92964e+10,0,4.28631e+09,3.64475e+08
bt,write_duration_vector,108,4.39206e+10,0,2.67261e+09,4.06672e+08
bt,write_dur_subvec,124,1.24927e+10,0,3.72675e+08,1.00747e+08
bt,write_subvec,345,3.74902e+10,0,4.38432e+08,1.08667e+08
bt,zstd,469,1.83313e+10,0,1.9796e+08,3.90859e+07
bt,write,7751,5.94635e+06,0,257986,767.172
bt,write_vector,245,8.54213e+10,0,3.35286e+09,3.48658e+08
bt,write_duration_vector,108,4.56377e+10,0,3.81117e+09,4.22571e+08
bt,write_dur_subvec,124,1.3327e+10,0,4.07827e+08,1.07476e+08
bt,write_subvec,345,3.57199e+10,0,3.45414e+08,1.03536e+08
bt,zstd,469,1.82867e+10,0,2.90047e+08,3.89908e+07
bt,write,7751,5.9724e+06,0,267307,770.533
bt,write_vector,245,9.4591e+10,0,5.45634e+09,3.86086e+08
bt,write_duration_vector,108,3.86615e+10,0,2.09578e+09,3.57977e+08
bt,write_dur_subvec,124,1.11583e+10,0,3.02625e+08,8.9986e+07
bt,write_subvec,345,4.00618e+10,0,4.14289e+08,1.16121e+08
bt,zstd,469,1.74903e+10,0,2.58724e+08,3.72927e+07
bt,write,7751,6.26021e+06,0,276107,807.664
bt,write_vector,245,8.29645e+10,0,3.29058e+09,3.3863e+08
bt,write_duration_vector,108,4.47341e+10,0,2.91362e+09,4.14205e+08
bt,write_dur_subvec,124,1.39208e+10,0,3.58487e+08,1.12264e+08
bt,write_subvec,345,3.40293e+10,0,4.43479e+08,9.86357e+07
bt,zstd,469,1.80348e+10,0,2.33457e+08,3.84537e+07
bt,write,7751,6.48413e+06,0,632065,836.555
bt,write_vector,245,8.67585e+10,0,4.24785e+09,3.54116e+08
bt,write_duration_vector,108,4.2824e+10,0,2.20893e+09,3.96518e+08
bt,write_dur_subvec,124,1.32139e+10,0,4.00903e+08,1.06564e+08
bt,write_subvec,345,3.64936e+10,0,3.50648e+08,1.05778e+08
bt,zstd,469,1.65284e+10,0,2.35903e+08,3.52419e+07
