n_calls,total_time,min,max,mean
7751.0,6161577.0,0.0,281128.55,794.9397
124.0,12621345000.0,0.0,403825650.0,101785035.0
108.0,42573145000.0,0.0,2740047000.0,394195650.0
345.0,36522325000.0,0.0,470887450.0,105861785.0
245.0,86968155000.0,0.0,4222765500.0,354971950.0
469.0,17643130000.0,0.0,280000750.0,37618615.0
9143.0,8229034.0,0.0,401645.95,900.03635
75.0,7695159500.0,0.0,356624000.0,102602100.0
27.0,21871610000.0,0.0,5253462500.0,810059700.0
273.0,28547630000.0,0.0,424722000.0,104570065.0
66.0,62922355000.0,0.0,5498440000.0,953368850.0
348.0,13232150000.0,0.0,247319100.0,38023410.0
3654.0,758447.55,0.0,31342.8,207.5663
8.0,760523650.0,0.0,205170870.0,95065405.0
8.0,2745450000.0,0.0,634901100.0,343181200.0
25.0,2323359000.0,0.0,269038750.0,92934330.0
25.0,5994177000.0,0.0,532788250.0,239767100.0
33.0,988468400.0,0.0,128577375.0,29953590.0
10026.0,16902205.0,0.0,501590.65,1685.837
435.0,31984520000.0,0.0,393862800.0,73527620.0
34.0,80430890000.0,0.0,10578608000.0,2365614500.0
1448.0,137231950000.0,0.0,551027050.0,94773470.0
80.0,294557050000.0,0.0,37804445000.0,3681962500.0
1883.0,63452960000.0,0.0,379826650.0,33697800.0
7272.0,3992827.0,0.0,320999.45,549.0688
139.0,12961760000.0,0.0,394554500.0,93250075.0
139.0,46513145000.0,0.0,902570650.0,334626800.0
299.0,29373805000.0,0.0,435926000.0,98240135.0
281.0,73491685000.0,0.0,1265536500.0,261536400.0
438.0,14302030000.0,0.0,241227700.0,32653070.0
11665.0,9208064.5,0.0,165028.05,789.37545
106.25,10649717000.0,0.0,353029350.0,100243855.0
66.3,33262155000.0,0.0,4274937000.0,502394300.0
352.95,36275435000.0,0.0,491921050.0,102782050.0
153.2,82385565000.0,0.0,5079051500.0,538128100.0
459.2,17239200000.0,0.0,311621850.0,37547540.0
