NAME,TIME
bt,70.33
bt,69.95
bt,66.41
bt,64.79
bt,58.80
bt,56.77
bt,56.98
bt,55.95
bt,60.83
bt,59.86
bt,58.98
bt,58.22
bt,58.29
bt,56.34
cg,30.26
cg,26.80
cg,27.32
cg,24.37
cg,27.08
cg,23.65
cg,24.36
cg,20.42
cg,26.91
cg,22.39
cg,26.75
cg,21.90
cg,24.75
cg,21.01
ep,1.88
ep,1.88
ep,1.88
ep,1.88
ep,1.92
ep,1.91
ep,1.92
ep,1.92
ep,1.88
ep,1.88
ep,1.88
ep,1.88
ep,1.89
ep,1.89
ft,24.69
ft,24.27
ft,24.60
ft,24.67
ft,23.69
ft,23.76
ft,23.61
ft,23.48
ft,23.82
ft,23.92
ft,23.76
ft,23.67
ft,23.83
ft,23.89
is,1.20
is,1.19
is,1.24
is,1.17
is,1.26
is,1.21
is,1.27
is,1.21
is,1.26
is,1.23
is,1.27
is,1.23
is,1.25
is,1.25
lu,67.89
lu,45.54
lu,60.88
lu,45.39
lu,59.21
lu,43.01
lu,66.05
lu,44.88
lu,64.45
lu,44.14
lu,59.62
lu,45.08
lu,59.82
lu,41.70
mg,10.11
mg,9.47
mg,9.72
mg,9.03
mg,9.61
mg,9.00
mg,9.87
mg,9.09
mg,9.89
mg,9.05
mg,9.83
mg,9.18
mg,9.78
mg,8.94
sp,96.93
sp,94.18
sp,87.98
sp,83.89
sp,80.39
sp,79.41
sp,88.95
sp,87.46
sp,89.19
sp,87.56
sp,80.76
sp,78.90
sp,73.65
sp,70.37
