SIZE,NAME
56346485,bt.C.x_trace_1
56157425,bt.C.x_trace_2
55838368,bt.C.x_trace_3
55770807,bt.C.x_trace_4
55952293,bt.C.x_trace_5
55858949,bt.C.x_trace_6
55804349,bt.C.x_trace_7
55762366,bt.C.x_trace_8
72894970,cg.C.x_trace_1
72416087,cg.C.x_trace_2
72485723,cg.C.x_trace_3
72065878,cg.C.x_trace_4
72316792,cg.C.x_trace_5
72254504,cg.C.x_trace_6
72027494,cg.C.x_trace_7
71769850,cg.C.x_trace_8
383181,ep.C.x_trace_1
383099,ep.C.x_trace_2
383149,ep.C.x_trace_3
383174,ep.C.x_trace_4
383093,ep.C.x_trace_5
383165,ep.C.x_trace_6
383139,ep.C.x_trace_7
383137,ep.C.x_trace_8
603803,ft.C.x_trace_1
604006,ft.C.x_trace_2
603902,ft.C.x_trace_3
603935,ft.C.x_trace_4
603814,ft.C.x_trace_5
604071,ft.C.x_trace_6
604096,ft.C.x_trace_7
604058,ft.C.x_trace_8
3891161107,is.C.x_trace_1
3888972439,is.C.x_trace_2
3905729844,is.C.x_trace_3
3896846021,is.C.x_trace_4
3888858547,is.C.x_trace_5
3892437397,is.C.x_trace_6
3890529062,is.C.x_trace_7
3888887516,is.C.x_trace_8
297542339,lu.C.x_trace_1
297831637,lu.C.x_trace_2
297313388,lu.C.x_trace_3
297710203,lu.C.x_trace_4
297873307,lu.C.x_trace_5
297368721,lu.C.x_trace_6
297282207,lu.C.x_trace_7
296917541,lu.C.x_trace_8
15259451,mg.C.x_trace_1
15252699,mg.C.x_trace_2
15246668,mg.C.x_trace_3
15253357,mg.C.x_trace_4
15246649,mg.C.x_trace_5
15258604,mg.C.x_trace_6
15242335,mg.C.x_trace_7
15248750,mg.C.x_trace_8
83620408,sp.C.x_trace_1
83302389,sp.C.x_trace_2
82883741,sp.C.x_trace_3
83375184,sp.C.x_trace_4
83387240,sp.C.x_trace_5
82959114,sp.C.x_trace_6
82502739,sp.C.x_trace_7
