NAME,DIFF
bt,5.46
bt,5.12
bt,4.25
bt,5.02
bt,4.76
bt,6.12
bt,2.96
bt,4.88
bt,3.33
bt,3.58
bt,.56
bt,2.42
bt,2.45
bt,3.09
bt,3.37
bt,1.32
bt,.56
bt,2.60
bt,.59
bt,.88
bt,.77
bt,.40
bt,1.27
bt,.48
bt,.26
bt,.15
bt,3.95
bt,2.90
bt,3.62
bt,4.69
cg,6.00
cg,6.47
cg,6.83
cg,5.96
cg,6.84
cg,7.04
cg,5.69
cg,7.61
cg,7.57
cg,6.71
cg,3.00
cg,6.14
cg,6.06
cg,5.91
cg,3.98
cg,4.61
cg,4.44
cg,4.06
cg,5.31
cg,5.25
cg,4.55
cg,1.42
cg,3.34
cg,4.21
cg,4.12
cg,3.74
cg,4.04
cg,3.85
cg,3.91
cg,7.31
ft,.34
ft,.26
ft,.59
ft,.66
ft,.45
ft,.47
ft,.29
ft,.18
ft,.42
ft,.42
ft,.07
ft,.34
ft,.23
ft,.65
ft,.38
ft,.03
ft,.25
ft,.41
ft,.35
ft,.36
ft,.39
ft,.04
ft,.29
ft,.22
ft,.17
ft,.04
ft,.16
ft,.03
ft,.29
ft,.18
lu,29.13
lu,29.68
lu,29.79
lu,27.87
lu,30.02
lu,28.24
lu,29.74
lu,27.80
lu,30.01
lu,28.02
lu,21.92
lu,26.89
lu,26.15
lu,26.73
lu,26.44
lu,26.11
lu,25.21
lu,25.50
lu,24.99
lu,25.49
lu,24.30
lu,23.29
lu,24.26
lu,22.41
lu,23.57
lu,23.69
lu,22.30
lu,22.60
lu,28.08
lu,28.37
mg,.98
mg,1.05
mg,1.11
mg,1.16
mg,1.18
mg,1.06
mg,1.05
mg,1.16
mg,1.02
mg,.96
mg,.59
mg,1.06
mg,1.00
mg,.89
mg,.82
mg,.88
mg,.85
mg,.76
mg,.73
mg,.86
mg,1.05
mg,.95
mg,.82
mg,.77
mg,.80
mg,.97
mg,.84
mg,1.22
mg,1.08
mg,1.17
sp,12.91
sp,10.31
sp,7.04
sp,9.71
sp,8.10
sp,12.30
sp,11.83
sp,8.86
sp,8.29
sp,2.58
sp,1.38
sp,2.46
sp,3.14
sp,.59
sp,.93
sp,3.01
sp,3.27
sp,1.65
sp,.10
sp,3.69
sp,1.56
sp,2.29
sp,3.14
sp,.12
sp,.34
sp,2.50
sp,1.69
sp,6.84
sp,10.62
sp,12.19
lulesh,40
lulesh,10
lulesh,10
lulesh,130
lulesh,30
lulesh,30
lulesh,30
lulesh,160
lulesh,140
lulesh,30
lulesh,40
lulesh,20
lulesh,100
