SIZE,NAME
55315062,bt.C.x_trace_1
55727541,bt.C.x_trace_10
55646980,bt.C.x_trace_11
55730370,bt.C.x_trace_12
55728978,bt.C.x_trace_13
55784052,bt.C.x_trace_14
55728539,bt.C.x_trace_15
55748877,bt.C.x_trace_16
55859200,bt.C.x_trace_17
55882877,bt.C.x_trace_18
55841866,bt.C.x_trace_19
55294229,bt.C.x_trace_2
55858324,bt.C.x_trace_20
55687493,bt.C.x_trace_21
55733529,bt.C.x_trace_22
55842269,bt.C.x_trace_23
55691782,bt.C.x_trace_24
55757049,bt.C.x_trace_25
55751992,bt.C.x_trace_26
55733006,bt.C.x_trace_27
55755270,bt.C.x_trace_28
55751480,bt.C.x_trace_29
55325145,bt.C.x_trace_3
55767224,bt.C.x_trace_30
55345465,bt.C.x_trace_4
55291200,bt.C.x_trace_5
55554208,bt.C.x_trace_6
55438784,bt.C.x_trace_7
55495905,bt.C.x_trace_8
55462288,bt.C.x_trace_9
71667828,cg.C.x_trace_1
72129415,cg.C.x_trace_10
72257918,cg.C.x_trace_11
72231402,cg.C.x_trace_12
72229883,cg.C.x_trace_13
72234889,cg.C.x_trace_14
72395153,cg.C.x_trace_15
72292530,cg.C.x_trace_16
72514006,cg.C.x_trace_17
72537336,cg.C.x_trace_18
72459348,cg.C.x_trace_19
71532444,cg.C.x_trace_2
72479056,cg.C.x_trace_20
72175770,cg.C.x_trace_21
72257169,cg.C.x_trace_22
72313766,cg.C.x_trace_23
72159642,cg.C.x_trace_24
72113708,cg.C.x_trace_25
72140651,cg.C.x_trace_26
72345546,cg.C.x_trace_27
72396334,cg.C.x_trace_28
72178055,cg.C.x_trace_29
71749835,cg.C.x_trace_3
72179492,cg.C.x_trace_30
71682870,cg.C.x_trace_4
71636386,cg.C.x_trace_5
71713634,cg.C.x_trace_6
71630222,cg.C.x_trace_7
71644122,cg.C.x_trace_8
72050880,cg.C.x_trace_9
602838,ft.C.x_trace_1
602776,ft.C.x_trace_10
602765,ft.C.x_trace_11
602802,ft.C.x_trace_12
602901,ft.C.x_trace_13
602898,ft.C.x_trace_14
602822,ft.C.x_trace_15
602719,ft.C.x_trace_16
602906,ft.C.x_trace_17
602865,ft.C.x_trace_18
602849,ft.C.x_trace_19
602871,ft.C.x_trace_2
602949,ft.C.x_trace_20
602664,ft.C.x_trace_21
602852,ft.C.x_trace_22
603058,ft.C.x_trace_23
602923,ft.C.x_trace_24
602878,ft.C.x_trace_25
602817,ft.C.x_trace_26
602783,ft.C.x_trace_27
602833,ft.C.x_trace_28
602833,ft.C.x_trace_29
602897,ft.C.x_trace_3
602859,ft.C.x_trace_30
602865,ft.C.x_trace_4
602876,ft.C.x_trace_5
602857,ft.C.x_trace_6
602925,ft.C.x_trace_7
602725,ft.C.x_trace_8
602914,ft.C.x_trace_9
297197364,lu.C.x_trace_1
297274616,lu.C.x_trace_10
297260728,lu.C.x_trace_11
297416498,lu.C.x_trace_12
297202094,lu.C.x_trace_13
297368215,lu.C.x_trace_14
